Insurance Internal ID,State,Payor,"Payor, State",Insurance Internal ID2,Service_Address,Entity,NPI of entity ,Entity Tin,Payor Type,Active Individual Enrollment ,Status of contracting team,Notes,Billing address , Company,Contract Effective Date,Date Submitted to Medallion,Date Updated,Is_non_BCBA_compliant,Regions,All regions 4 state ,Is License required?
138,GA,Anthem BCBS,"Anthem BCBS, GA",138,"955 Interstate Ridge Drive Suite ABC, Gainesville, GA 30501-7013",Kadiant LLC,1811547052,833935694,Commercial,Yes,Complete,,"850 Towbin Avenue, Lakewood NJ 08701",Kadiant ,2/1/2021,11/29/2024,,,,,
153,MD,Carefirst BCBS RPN/PAR,"Carefirst BCBS RPN/PAR, MD",153,"400 East Pratt Street, 8th Floor, Baltimore Maryland 21202",Attain ABA NE LLC,1710535752,842920357,Commercial,Yes,F/U,?,"850 Towbin Avenue, Lakewood NJ 08701",Attain,10/8/2020,11/29/2024,,,,,
170,NJ,Cigna,"Cigna, NJ",170,"1166 River Avenue, Lakewood, NJ 08701",Progressive Applied Behavioral Treatment Corp DBA Connect Plus,1497109409,812236861,Commercial,Yes,Complete,ID 5952495,"850 Towbin Avenue, Lakewood NJ 08701",Attain,,11/29/2024,,,,,
170,NJ,Cigna,"Cigna, NJ",170,"1902 Fairfax Avenue, Suite 117, Cherry Hill, NJ 08003",Progressive Applied Behavioral Treatment Corp DBA Connect Plus,1497109409,812236861,Commercial,Yes,Complete,ID 5801920,"850 Towbin Avenue, Lakewood NJ 08701",Attain,,11/29/2024,,,,,
170,NJ,Cigna,"Cigna, NJ",170,"1 Allison Drive, Cherry Hill, NJ 08003",Progressive Applied Behavioral Treatment Corp DBA Connect Plus,1497109409,812236861,Commercial,Yes,Complete,ID 5803634,"850 Towbin Avenue, Lakewood NJ 08701",Attain,,11/29/2024,,,,,
137,OH,Anthem ,"Anthem , OH",137,"3070 Riverside Dr. Ste 200, Columbus, OH 43221-2547",Kadiant LLC,1811547052,833935694,Managed Medicaid,No - VIA Group ,F/U,One enrollment through Medicaid - must select on MCD enrollment ,"850 Towbin Avenue, Lakewood NJ 08701",Kadiant ,5/1/2024,11/29/2024,,,,,
126,PA,Aetna,"Aetna, PA",126,"201 Penn Center Boulevard, Suite 400, Pittsburgh, PA 15235",Attain ABA NE LLC,1710535752,842920357,Commercial,Yes,Complete,,"850 Towbin Avenue, Lakewood NJ 08701",Attain,11/1/2020,11/29/2024,,,,,
173,PA,Cigna,"Cigna, PA",173,"1326 Chestnut Street, 3rd floor Philadelphia, PA 19107",Attain ABA NE LLC,1710535752,842920357,Commercial,Yes,Complete,ID 5985092,"850 Towbin Avenue, Lakewood NJ 08701",Attain,10/6/2020,11/29/2024,,,,,
173,PA,Cigna,"Cigna, PA",173,"201 Lackawanna Avenue, Suite 321 Scranton PA 18503",Attain ABA NE LLC,1710535752,842920357,Commercial,Yes,Complete,ID 5837822,"850 Towbin Avenue, Lakewood NJ 08701",Attain,10/6/2020,11/29/2024,,,,,
173,PA,Cigna,"Cigna, PA",173,"4646 Umbria Street, Philadelphia PA 19127",Attain ABA NE LLC,1710535752,842920357,Commercial,Yes,Complete,ID 5977907,"850 Towbin Avenue, Lakewood NJ 08701",Attain,10/6/2020,11/29/2024,,,,,
173,PA,Cigna,"Cigna, PA",173,"800 New Holland Avenue, Unit 208 Lancaster PA, 17606",Attain ABA NE LLC,1710535752,842920357,Commercial,Yes,Complete,ID 5795981,"850 Towbin Avenue, Lakewood NJ 08701",Attain,10/6/2020,11/29/2024,,,,,
129,VA,Aetna Better Health of VA,"Aetna Better Health of VA, VA",129,"8000 Towers Crescent Drive, 13th Floor, Vienna, Virginia, 22182",Attain ABA NE LLC,1710535752,842920357,Managed Medicaid,Roster,Complete,Billing via group but individual enrollments required,"850 Towbin Avenue, Lakewood NJ 08701",Attain,9/1/2020,11/29/2024,,,,,
138,CA,Anthem BC,"Anthem BC, CA",138,"3620 W. Hammer Lane, Stockton, CA 95219-5435",Kadiant LLC,1811547052,833935694,Commercial,Yes,Complete,One enrollment for both LOBs. Additional form may be required to support Medicaid enrollment.,"850 Towbin Avenue, Lakewood NJ 08701",Kadiant ,7/1/2020,11/29/2024,,,,,
138,CA,Anthem BC,"Anthem BC, CA",138,"5501 Antique Rose Way, Riverbank, CA 95367-9505",Kadiant LLC,1811547052,833935694,Commercial,Yes,Complete,One enrollment for both LOBs. Additional form may be required to support Medicaid enrollment.,"850 Towbin Avenue, Lakewood NJ 08701",Kadiant ,7/1/2020,11/29/2024,,,,,
138,CA,Anthem BC,"Anthem BC, CA",138,"6760 N. West Avenue, Suite 101, Fresno, CA 93711-1396",Kadiant LLC,1811547052,833935694,Commercial,Yes,Complete,One enrollment for both LOBs. Additional form may be required to support Medicaid enrollment.,"850 Towbin Avenue, Lakewood NJ 08701",Kadiant ,7/1/2020,11/29/2024,,,,,
138,CA,Anthem BC,"Anthem BC, CA",138,"3745 Long Beach Blvd, Ste 100, Long Beach, CA 90807-3340",Kadiant LLC,1811547052,833935694,Commercial,Yes,Complete,One enrollment for both LOBs. Additional form may be required to support Medicaid enrollment.,"850 Towbin Avenue, Lakewood NJ 08701",Kadiant ,7/1/2020,11/29/2024,,,,,
138,CA,Anthem BC,"Anthem BC, CA",138,"1300 Ethan Way Ste. 175, Sacramento, CA 95825-2277",Kadiant LLC,1811547052,833935694,Commercial,Yes,Complete,One enrollment for both LOBs. Additional form may be required to support Medicaid enrollment.,"850 Towbin Avenue, Lakewood NJ 08701",Kadiant ,7/1/2020,11/29/2024,,,,,
138,CA,Anthem BC,"Anthem BC, CA",138,"2230 Longport Ct. #130, Elk Grove, CA 95758-7182",Kadiant LLC,1811547052,833935694,Commercial,Yes,Complete,One enrollment for both LOBs. Additional form may be required to support Medicaid enrollment.,"850 Towbin Avenue, Lakewood NJ 08701",Kadiant ,7/1/2020,11/29/2024,,,,,
138,CA,Anthem BC,"Anthem BC, CA",138,"6560 Lonetree Blvd, Suite 100, Rocklin, CA 95765-5891",Kadiant LLC,1811547052,833935694,Commercial,Yes,Complete,One enrollment for both LOBs. Additional form may be required to support Medicaid enrollment.,"850 Towbin Avenue, Lakewood NJ 08701",Kadiant ,7/1/2020,11/29/2024,,,,,
138,CA,Anthem BC,"Anthem BC, CA",138,"8950 Cal Center Dr. #137, Sacramento, CA 95826-3236",Kadiant LLC,1811547052,833935694,Commercial,Yes,Complete,One enrollment for both LOBs. Additional form may be required to support Medicaid enrollment.,"850 Towbin Avenue, Lakewood NJ 08701",Kadiant ,7/1/2020,11/29/2024,,,,,
137,CA,Anthem BC MCD,"Anthem BC MCD, CA",137,"3620 W. Hammer Lane, Stockton, CA 95219-5435",Kadiant LLC,1811547052,833935694,Managed Medicaid,Yes,Complete,One enrollment for both LOBs. Additional form may be required to support Medicaid enrollment.,"850 Towbin Avenue, Lakewood NJ 08701",Kadiant ,10/1/2020,11/29/2024,,,,,
137,CA,Anthem BC MCD,"Anthem BC MCD, CA",137,"5501 Antique Rose Way, Riverbank, CA 95367-9505",Kadiant LLC,1811547052,833935694,Managed Medicaid,Yes,Complete,One enrollment for both LOBs. Additional form may be required to support Medicaid enrollment.,"850 Towbin Avenue, Lakewood NJ 08701",Kadiant ,10/1/2020,11/29/2024,,,,,
137,CA,Anthem BC MCD,"Anthem BC MCD, CA",137,"6760 N. West Avenue, Suite 101, Fresno, CA 93711-1396",Kadiant LLC,1811547052,833935694,Managed Medicaid,Yes,Complete,One enrollment for both LOBs. Additional form may be required to support Medicaid enrollment.,"850 Towbin Avenue, Lakewood NJ 08701",Kadiant ,10/1/2020,11/29/2024,,,,,
137,CA,Anthem BC MCD,"Anthem BC MCD, CA",137,"3745 Long Beach Blvd, Ste 100, Long Beach, CA 90807-3340",Kadiant LLC,1811547052,833935694,Managed Medicaid,Yes,Complete,One enrollment for both LOBs. Additional form may be required to support Medicaid enrollment.,"850 Towbin Avenue, Lakewood NJ 08701",Kadiant ,10/1/2020,11/29/2024,,,,,
137,CA,Anthem BC MCD,"Anthem BC MCD, CA",137,"1300 Ethan Way Ste. 175, Sacramento, CA 95825-2277",Kadiant LLC,1811547052,833935694,Managed Medicaid,Yes,Complete,One enrollment for both LOBs. Additional form may be required to support Medicaid enrollment.,"850 Towbin Avenue, Lakewood NJ 08701",Kadiant ,10/1/2020,11/29/2024,,,,,
137,CA,Anthem BC MCD,"Anthem BC MCD, CA",137,"2230 Longport Ct. #130, Elk Grove, CA 95758-7182",Kadiant LLC,1811547052,833935694,Managed Medicaid,Yes,Complete,One enrollment for both LOBs. Additional form may be required to support Medicaid enrollment.,"850 Towbin Avenue, Lakewood NJ 08701",Kadiant ,10/1/2020,11/29/2024,,,,,
137,CA,Anthem BC MCD,"Anthem BC MCD, CA",137,"6560 Lonetree Blvd, Suite 100, Rocklin, CA 95765-5891",Kadiant LLC,1811547052,833935694,Managed Medicaid,Yes,Complete,One enrollment for both LOBs. Additional form may be required to support Medicaid enrollment.,"850 Towbin Avenue, Lakewood NJ 08701",Kadiant ,10/1/2020,11/29/2024,,,,,
137,CA,Anthem BC MCD,"Anthem BC MCD, CA",137,"8950 Cal Center Dr. #137, Sacramento, CA 95826-3236",Kadiant LLC,1811547052,833935694,Managed Medicaid,Yes,Complete,One enrollment for both LOBs. Additional form may be required to support Medicaid enrollment.,"850 Towbin Avenue, Lakewood NJ 08701",Kadiant ,10/1/2020,11/29/2024,,,,,
158,CA,Carelon - HPSF,"Carelon - HPSF, CA",158,"3745 Long Beach Blvd, Ste 100, Long Beach, CA 90807-3340",Kadiant LLC,1811547052,833935694,Managed Medicaid,Yes,Complete,One enrollment for both LOBs. Additional form may be required to support Medicaid enrollment.,"850 Towbin Avenue, Lakewood NJ 08701",Kadiant ,9/4/2024,11/29/2024,,,,,
158,CA,Carelon - HPSF,"Carelon - HPSF, CA",158,"3620 W. Hammer Lane, Stockton, CA 95219-5435",Kadiant LLC,1811547052,833935694,Managed Medicaid,Yes,Complete,One enrollment for both LOBs. Additional form may be required to support Medicaid enrollment.,"850 Towbin Avenue, Lakewood NJ 08701",Kadiant ,9/4/2024,11/29/2024,,,,,
158,CA,Carelon - HPSF,"Carelon - HPSF, CA",158,"5501 Antique Rose Way, Riverbank, CA 95367-9505",Kadiant LLC,1811547052,833935694,Managed Medicaid,Yes,Complete,One enrollment for both LOBs. Additional form may be required to support Medicaid enrollment.,"850 Towbin Avenue, Lakewood NJ 08701",Kadiant ,9/4/2024,11/29/2024,,,,,
158,CA,Carelon - HPSF,"Carelon - HPSF, CA",158,"6760 N. West Avenue, Suite 101, Fresno, CA 93711-1396",Kadiant LLC,1811547052,833935694,Managed Medicaid,Yes,Complete,One enrollment for both LOBs. Additional form may be required to support Medicaid enrollment.,"850 Towbin Avenue, Lakewood NJ 08701",Kadiant ,9/4/2024,11/29/2024,,,,,
158,CA,Carelon - HPSF,"Carelon - HPSF, CA",158,"1300 Ethan Way Ste. 175, Sacramento, CA 95825-2277",Kadiant LLC,1811547052,833935694,Managed Medicaid,Yes,Complete,One enrollment for both LOBs. Additional form may be required to support Medicaid enrollment.,"850 Towbin Avenue, Lakewood NJ 08701",Kadiant ,9/4/2024,11/29/2024,,,,,
